magnitude,placename,time
5.1,"191km E of Chichi-shima, Japan",26 Feb 2017 03:17 pm
5.1,Southern Mid-Atlantic Ridge,27 Feb 2017 07:50 pm
5.1,"215km NW of Farallon de Pajaros, Northern Mariana Islands",28 Feb 2017 10:08 pm
5,"35km NNW of Cempa, Indonesia",03 Feb 2017 02:29 am
5,"16km NE of Gumdag, Turkmenistan",05 Feb 2017 07:59 am
5,"255km ENE of Hachijo-jima, Japan",06 Feb 2017 03:58 am
5,"135km NE of Opotiki, New Zealand",06 Feb 2017 07:43 am
5,"10km SSW of Sukadami, Indonesia",08 Feb 2017 12:34 am
5,Mid-Indian Ridge,09 Feb 2017 12:31 am
5,"65km SSW of Bilungala, Indonesia",10 Feb 2017 10:28 am
5,South of the Fiji Islands,11 Feb 2017 03:15 am
5,"54km N of Amberley, New Zealand",11 Feb 2017 12:18 pm
5,"71km NNE of Miyako, Japan",12 Feb 2017 05:36 am
5,"1km NNE of Mabua, Philippines",13 Feb 2017 12:04 pm
5,"158km SE of Ishigaki, Japan",14 Feb 2017 08:26 am
5,"3km SSW of Bantarmunding, Indonesia",15 Feb 2017 10:53 am
5,"12km W of Reuleuet, Indonesia",15 Feb 2017 11:53 am
5,Southern Mid-Atlantic Ridge,15 Feb 2017 09:38 pm
5,"55km W of Agrihan, Northern Mariana Islands",16 Feb 2017 01:44 pm
5,"122km W of Sinabang, Indonesia",19 Feb 2017 10:10 pm
5,"86km SE of Taron, Papua New Guinea",20 Feb 2017 06:59 am
5,Southern Mid-Atlantic Ridge,22 Feb 2017 03:25 pm
5,North of Severnaya Zemlya,23 Feb 2017 12:13 pm
5,"56km SSW of Lhokseumawe, Indonesia",24 Feb 2017 12:22 am
5,"28km SW of Churachandpur, India",24 Feb 2017 04:02 am
5,"86km NW of Finschhafen, Papua New Guinea",25 Feb 2017 05:24 am
5,"81km WSW of Vallenar, Chile",26 Feb 2017 12:59 am
5,"102km SSE of Vilyuchinsk, Russia",26 Feb 2017 05:21 pm
5,"10km WNW of Laiwui, Indonesia",28 Feb 2017 11:08 am
5,"36km ENE of Namie, Japan",28 Feb 2017 10:43 pm
5,"37km ENE of Amberley, New Zealand",01 Mar 2017 11:01 am
4.9,"16km ENE of Kaikoura, New Zealand",01 Feb 2017 02:21 am
4.9,"42km E of Naze, Japan",01 Feb 2017 10:11 am
4.9,Pacific-Antarctic Ridge,01 Feb 2017 02:23 pm
4.9,"183km NNE of Banjar Sidayu, Indonesia",02 Feb 2017 03:18 am
4.9,Kermadec Islands region,02 Feb 2017 07:34 am
4.9,"299km SW of Hanga Roa, Chile",02 Feb 2017 03:36 pm
4.9,"89km NNW of Port-Olry, Vanuatu",02 Feb 2017 09:13 pm
4.9,"76km E of Lakatoro, Vanuatu",04 Feb 2017 10:31 am
4.9,"108km SSE of Raoul Island, New Zealand",04 Feb 2017 02:05 pm
4.9,"17km WNW of Behram, Turkey",06 Feb 2017 03:45 am
4.9,"146km SSW of Ndoi Island, Fiji",07 Feb 2017 04:23 am
4.9,Southern Pacific Ocean,07 Feb 2017 06:34 am
4.9,"147km SSE of `Ohonua, Tonga",07 Feb 2017 12:16 pm
4.9,"166km W of Abepura, Indonesia",08 Feb 2017 02:51 am
4.9,"15km NW of Wenping, China",08 Feb 2017 03:11 am
4.9,"94km WNW of Piti Village, Guam",09 Feb 2017 07:05 am
4.9,Vanuatu region,09 Feb 2017 12:00 pm
4.9,"36km SW of Zonda, Argentina",10 Feb 2017 11:15 pm
4.9,"150km SSE of Taron, Papua New Guinea",10 Feb 2017 11:33 pm
4.9,"16km NE of Bayabas, Philippines",11 Feb 2017 12:40 pm
4.9,"136km S of Tambakrejo, Indonesia",11 Feb 2017 10:42 pm
4.9,"27km N of Taron, Papua New Guinea",12 Feb 2017 01:16 am
4.9,"56km SW of Madang, Papua New Guinea",12 Feb 2017 03:58 am
4.9,"101km NW of Vallenar, Chile",12 Feb 2017 08:21 am
4.9,"20km SW of Deli Tua, Indonesia",13 Feb 2017 12:35 pm
4.9,"235km SE of Sarangani, Philippines",14 Feb 2017 12:47 pm
4.9,Central Mid-Atlantic Ridge,14 Feb 2017 05:34 pm
4.9,"0km S of Petapa, Guatemala",16 Feb 2017 05:33 am
4.9,"55km SW of Hihifo, Tonga",16 Feb 2017 11:53 am
4.9,"123km NE of Lambasa, Fiji",19 Feb 2017 03:02 am
4.9,"227km SSW of Taron, Papua New Guinea",19 Feb 2017 11:10 am
4.9,"107km SSE of Lata, Solomon Islands",19 Feb 2017 07:56 pm
4.9,"136km NNE of Gisborne, New Zealand",19 Feb 2017 11:53 pm
4.9,"110km SE of Ust'-Kamchatsk Staryy, Russia",20 Feb 2017 11:25 am
4.9,"82km SW of Kirakira, Solomon Islands",21 Feb 2017 02:01 am
4.9,"19km ENE of Tecoanapa, Mexico",21 Feb 2017 03:56 am
4.9,"70km WSW of Ovalle, Chile",21 Feb 2017 05:01 am
4.9,"71km NE of Norsup, Vanuatu",22 Feb 2017 03:46 pm
4.9,"33km W of Salina Cruz, Mexico",23 Feb 2017 07:21 am
4.9,"24km SW of Ilabaya, Peru",23 Feb 2017 07:12 pm
4.9,"20km SSW of Honiara, Solomon Islands",24 Feb 2017 01:44 am
4.9,"106km SSE of Buldir Island, Alaska",24 Feb 2017 02:24 am
4.9,"136km N of Ponta do Sol, Cape Verde",24 Feb 2017 11:16 am
4.9,"144km SSW of Nishinoomote, Japan",24 Feb 2017 06:50 pm
4.9,"72km S of L'Esperance Rock, New Zealand",25 Feb 2017 07:14 am
4.9,"221km SSE of Hachijo-jima, Japan",25 Feb 2017 08:03 am
4.9,"69km NNW of Sidomulyo, Indonesia",26 Feb 2017 01:24 am
4.9,"214km NW of Tobelo, Indonesia",26 Feb 2017 04:03 pm
4.9,"243km SE of Hachijo-jima, Japan",26 Feb 2017 08:32 pm
4.9,"50km E of Shizunai, Japan",27 Feb 2017 01:10 am
4.9,"27km SSW of Yonakuni, Japan",27 Feb 2017 08:18 am
4.9,"202km NNE of Chichi-shima, Japan",28 Feb 2017 09:41 am
4.9,"142km NW of Kota Ternate, Indonesia",28 Feb 2017 11:16 am
4.9,"123km SSE of Kuril'sk, Russia",28 Feb 2017 04:42 pm
4.9,"104km NNE of Kali, Indonesia",28 Feb 2017 08:35 pm
4.9,Northern Mid-Atlantic Ridge,01 Mar 2017 01:08 am
4.9,"91km E of Adak, Alaska",01 Mar 2017 07:08 am
4.9,"36km S of Kirakira, Solomon Islands",01 Mar 2017 08:47 am
4.9,"85km W of Kandrian, Papua New Guinea",01 Mar 2017 08:51 am
4.9,"68km WSW of Gizo, Solomon Islands",01 Mar 2017 12:33 pm
4.8,Southwest Indian Ridge,31 Jan 2017 03:43 am
4.8,"171km ESE of Sucua, Ecuador",31 Jan 2017 03:38 pm
4.8,"25km SE of Petatlan, Mexico",01 Feb 2017 04:52 pm
4.8,"55km NNW of Agrihan, Northern Mariana Islands",02 Feb 2017 02:30 am
4.8,"30km ESE of Namie, Japan",03 Feb 2017 06:15 am
4.8,"19km SW of Katubao, Philippines",04 Feb 2017 10:02 am
4.8,"109km W of Te Anau, New Zealand",05 Feb 2017 01:35 am
4.8,"146km ESE of Iquique, Chile",06 Feb 2017 12:03 am
4.8,"26km NW of Lolak, Indonesia",06 Feb 2017 04:42 am
4.8,"23km SSE of Lata, Solomon Islands",06 Feb 2017 06:53 am
4.8,"73km WNW of Coquimbo, Chile",06 Feb 2017 07:17 pm
4.8,"222km WNW of Saumlaki, Indonesia",08 Feb 2017 12:14 am
4.8,"24km WSW of Coracora, Peru",08 Feb 2017 04:50 pm
4.8,"54km W of Kirakira, Solomon Islands",10 Feb 2017 12:30 am
4.8,"7km NE of Surigao, Philippines",11 Feb 2017 01:11 am
4.8,"56km SW of Kirakira, Solomon Islands",12 Feb 2017 01:39 am
4.8,"10km NNW of El Ocotito, Mexico",12 Feb 2017 11:29 pm
4.8,"41km SSE of Jarm, Afghanistan",13 Feb 2017 05:51 pm
4.8,"101km SW of Jiquilillo, Nicaragua",14 Feb 2017 06:47 pm
4.8,West of Macquarie Island,15 Feb 2017 09:58 am
4.8,"15km NNW of Mithymna, Greece",15 Feb 2017 04:19 pm
4.8,"85km WSW of Pimentel, Peru",16 Feb 2017 02:36 am
4.8,"227km SE of Sarangani, Philippines",17 Feb 2017 01:33 pm
4.8,Southeast of Easter Island,17 Feb 2017 06:43 pm
4.8,"38km E of Ndoi Island, Fiji",20 Feb 2017 06:26 pm
4.8,"24km SE of Ndoi Island, Fiji",22 Feb 2017 01:47 am
4.8,"166km SW of Port Hardy, Canada",22 Feb 2017 10:04 pm
4.8,"23km W of Salina Cruz, Mexico",23 Feb 2017 01:47 am
4.8,"136km ESE of Neiafu, Tonga",23 Feb 2017 03:52 am
4.8,"43km WSW of Jiquilillo, Nicaragua",24 Feb 2017 05:41 am
4.8,"119km NW of Saumlaki, Indonesia",24 Feb 2017 05:11 pm
4.8,"85km WNW of Laiwui, Indonesia",25 Feb 2017 01:08 pm
4.8,"49km ENE of Port-Olry, Vanuatu",25 Feb 2017 03:08 pm
4.8,"90km NW of Zhadong, China",26 Feb 2017 10:48 am
4.8,"134km E of Yamada, Japan",26 Feb 2017 06:17 pm
4.8,"115km W of Sinabang, Indonesia",27 Feb 2017 03:26 am
4.8,"128km E of Iwaki, Japan",28 Feb 2017 12:08 am
4.7,"100km NNW of Nago, Japan",31 Jan 2017 03:24 pm
4.7,"11km WSW of San Andres, Colombia",31 Jan 2017 04:18 pm
4.7,"154km W of Pangai, Tonga",01 Feb 2017 05:48 am
4.7,"101km SSW of Baubau, Indonesia",01 Feb 2017 08:48 am
4.7,"138km SSW of Hihifo, Tonga",01 Feb 2017 04:12 pm
