magnitude,placename,time
2.29,"128km SSE of Pahala, Hawaii",01 Mar 2017 11:44 am
2.28,"3km SE of The Geysers, California",10 Feb 2017 10:40 am
2.28,"15km E of Angwin, California",11 Feb 2017 04:24 am
2.28,"7km W of Volcano, Hawaii",12 Feb 2017 10:19 pm
2.28,"11km ESE of Alum Rock, California",18 Feb 2017 12:50 pm
2.28,"25km SSE of Mammoth Lakes, California",20 Feb 2017 12:47 am
2.28,"6km E of Pahala, Hawaii",24 Feb 2017 05:38 pm
2.28,"20km SSE of Salton City, CA",01 Mar 2017 12:32 pm
2.27,"4km SE of The Geysers, California",01 Feb 2017 07:21 pm
2.27,"3km E of The Geysers, California",07 Feb 2017 06:00 pm
2.27,"20km E of Honaunau-Napoopoo, Hawaii",10 Feb 2017 12:46 am
2.27,"35km ENE of Covelo, California",14 Feb 2017 01:28 am
2.27,"26km SSW of Coalinga, California",20 Feb 2017 06:21 am
2.26,"14km E of Angwin, California",15 Feb 2017 05:13 am
2.25,"1km S of Quarry near Columbia, CA",31 Jan 2017 07:59 am
2.25,"2km SSW of Pahala, Hawaii",19 Feb 2017 04:59 am
2.25,"29km SSW of South Dos Palos, California",25 Feb 2017 02:29 pm
2.25,"8km NE of Aguanga, CA",01 Mar 2017 10:54 pm
2.24,"32km WSW of Coronado, CA",05 Feb 2017 08:47 pm
2.24,"17km SE of Mammoth Lakes, California",08 Feb 2017 07:46 pm
2.24,"5km SSW of Pahala, Hawaii",16 Feb 2017 06:57 pm
2.23,"11km ESE of Alum Rock, California",18 Feb 2017 12:44 pm
2.22,"3km S of San Juan Bautista, California",28 Feb 2017 10:31 pm
2.22,"21km N of Panguitch, Utah",01 Mar 2017 04:18 am
2.21,"4km NW of The Geysers, California",06 Feb 2017 11:39 pm
2.21,"35km NE of Bonners Ferry, Idaho",16 Feb 2017 03:17 am
2.21,"12km S of Princeton, Canada",26 Feb 2017 02:13 pm
2.21,"19km S of McCall, Idaho",01 Mar 2017 04:38 am
2.2,"83km SSW of False Pass, Alaska",31 Jan 2017 06:08 am
2.2,"27km NW of Currant, Nevada",31 Jan 2017 10:04 am
2.2,"14km SSW of Guanica, Puerto Rico",31 Jan 2017 09:15 pm
2.2,"124km SE of Old Iliamna, Alaska",01 Feb 2017 01:33 pm
2.2,"63km E of Akutan, Alaska",01 Feb 2017 07:48 pm
2.2,"32km ENE of Akutan, Alaska",02 Feb 2017 08:15 am
2.2,"34km WNW of Anchor Point, Alaska",02 Feb 2017 10:35 am
2.2,"27km SE of Redoubt Volcano, Alaska",03 Feb 2017 06:37 am
2.2,"54km SSE of Larsen Bay, Alaska",03 Feb 2017 11:37 am
2.2,"7km SSE of Circle Hot Springs Station, Alaska",03 Feb 2017 04:35 pm
2.2,"38km NNW of Currant, Nevada",03 Feb 2017 07:26 pm
2.2,"95km SE of False Pass, Alaska",03 Feb 2017 09:35 pm
2.2,"107km SSW of False Pass, Alaska",04 Feb 2017 08:02 am
2.2,"26km WSW of Hawthorne, Nevada",04 Feb 2017 12:01 pm
2.2,"9km ESE of Johannesburg, CA",05 Feb 2017 01:37 am
2.2,"18km SE of False Pass, Alaska",05 Feb 2017 10:09 am
2.2,"59km S of Redoubt Volcano, Alaska",05 Feb 2017 04:16 pm
2.2,"103km E of Nikolski, Alaska",05 Feb 2017 05:24 pm
2.2,"67km NW of Larsen Bay, Alaska",06 Feb 2017 05:36 pm
2.2,"41km WNW of Valdez, Alaska",06 Feb 2017 07:41 pm
2.2,"26km SE of Emajagua, Puerto Rico",07 Feb 2017 08:34 am
2.2,"112km SSW of False Pass, Alaska",07 Feb 2017 04:47 pm
2.2,"26km WSW of Anchor Point, Alaska",08 Feb 2017 02:36 am
2.2,"57km SSW of Sand Point, Alaska",08 Feb 2017 06:56 am
2.2,"106km SW of Larsen Bay, Alaska",08 Feb 2017 01:18 pm
2.2,"62km W of Anchor Point, Alaska",09 Feb 2017 12:42 am
2.2,"14km SSE of Pole Ojea, Puerto Rico",09 Feb 2017 06:49 am
2.2,"117km SSW of Sand Point, Alaska",09 Feb 2017 09:29 pm
2.2,"52km SSE of Emajagua, Puerto Rico",10 Feb 2017 12:03 am
2.2,"31km NE of Redwood Valley, California",10 Feb 2017 06:53 am
2.2,"95km SSW of Homer, Alaska",10 Feb 2017 07:38 am
2.2,"18km SSE of Pole Ojea, Puerto Rico",10 Feb 2017 11:52 am
2.2,"1km W of Potala Pastillo, Puerto Rico",10 Feb 2017 07:56 pm
2.2,"70km WSW of Larsen Bay, Alaska",10 Feb 2017 10:17 pm
2.2,"94km W of Cantwell, Alaska",10 Feb 2017 11:49 pm
2.2,"104km NNE of Chignik Lake, Alaska",11 Feb 2017 09:11 am
2.2,"2km W of Bedford, New Hampshire",11 Feb 2017 11:15 am
2.2,"63km SSE of Kotzebue, Alaska",11 Feb 2017 12:15 pm
2.2,"55km W of Anchor Point, Alaska",11 Feb 2017 03:53 pm
2.2,"111km SSW of False Pass, Alaska",11 Feb 2017 11:54 pm
2.2,"117km SW of Homer, Alaska",12 Feb 2017 01:55 am
2.2,"64km SW of Redoubt Volcano, Alaska",12 Feb 2017 05:11 am
2.2,"67km SE of False Pass, Alaska",12 Feb 2017 09:23 am
2.2,"102km SE of Cold Bay, Alaska",12 Feb 2017 11:42 am
2.2,"28km NW of Rincon, Puerto Rico",12 Feb 2017 12:14 pm
2.2,"12km NE of Talmage, California",13 Feb 2017 06:53 am
2.2,"29km WSW of Hawthorne, Nevada",13 Feb 2017 08:19 am
2.2,"92km SSW of False Pass, Alaska",13 Feb 2017 08:32 am
2.2,"10km S of Emajagua, Puerto Rico",13 Feb 2017 06:31 pm
2.2,"79km E of Chignik Lake, Alaska",14 Feb 2017 05:22 am
2.2,"21km SSW of Sand Point, Alaska",14 Feb 2017 08:48 am
2.2,"141km ESE of Middleton Island, Alaska",14 Feb 2017 08:10 pm
2.2,"16km W of Yerington, Nevada",15 Feb 2017 02:32 pm
2.2,"78km W of Gustavus, Alaska",16 Feb 2017 02:52 am
2.2,"31km SSW of Redoubt Volcano, Alaska",16 Feb 2017 02:42 pm
2.2,"81km S of False Pass, Alaska",16 Feb 2017 02:52 pm
2.2,"19km N of Sterling, Alaska",16 Feb 2017 11:25 pm
2.2,"58km SSW of Nikolski, Alaska",17 Feb 2017 01:29 am
2.2,"107km W of Willow, Alaska",17 Feb 2017 02:28 pm
2.2,"44km N of Amatignak Island, Alaska",17 Feb 2017 11:58 pm
2.2,"113km SE of Cold Bay, Alaska",18 Feb 2017 05:03 pm
2.2,"65km SE of Unalaska, Alaska",18 Feb 2017 07:06 pm
2.2,"0km NNW of Cabo Rojo, Puerto Rico",18 Feb 2017 07:21 pm
2.2,"105km NNW of Chirikof Island, Alaska",18 Feb 2017 10:04 pm
2.2,"79km NNE of Unalakleet, Alaska",19 Feb 2017 06:34 am
2.2,"15km SSW of La Parguera, Puerto Rico",19 Feb 2017 08:59 pm
2.2,"110km NW of Talkeetna, Alaska",20 Feb 2017 02:57 am
2.2,"72km W of Gustavus, Alaska",20 Feb 2017 09:19 am
2.2,"103km NNE of Chirikof Island, Alaska",21 Feb 2017 12:19 am
2.2,"80km E of Chignik Lake, Alaska",21 Feb 2017 04:53 am
2.2,"69km E of Old Iliamna, Alaska",21 Feb 2017 08:03 pm
2.2,"9km SE of Adak, Alaska",21 Feb 2017 10:12 pm
2.2,"2km SSW of Tallaboa, Puerto Rico",22 Feb 2017 03:29 am
2.2,"80km W of Anchor Point, Alaska",22 Feb 2017 04:36 am
2.2,"29km WSW of Hawthorne, Nevada",22 Feb 2017 07:13 am
2.2,"128km W of Cantwell, Alaska",22 Feb 2017 07:43 am
2.2,"83km ENE of Cantwell, Alaska",23 Feb 2017 12:43 am
2.2,"145km E of Chirikof Island, Alaska",23 Feb 2017 03:32 am
2.2,"29km ESE of Emajagua, Puerto Rico",23 Feb 2017 12:32 pm
2.2,"20km ESE of Honoka'a, Hawaii",24 Feb 2017 11:45 am
2.2,"116km SE of Unalaska, Alaska",25 Feb 2017 02:36 pm
2.2,"13km SSE of Pahala, Hawaii",25 Feb 2017 09:06 pm
2.2,"10km W of Harper, Kansas",26 Feb 2017 06:31 pm
2.2,"88km NNE of Tanana, Alaska",27 Feb 2017 03:06 am
2.2,"35km NNW of Valdez, Alaska",28 Feb 2017 12:38 pm
2.2,"58km SE of Unalaska, Alaska",01 Mar 2017 04:45 am
2.2,"54km WSW of Anchor Point, Alaska",01 Mar 2017 06:21 pm
2.2,"54km WSW of Anchor Point, Alaska",01 Mar 2017 06:41 pm
2.19,"1km NNE of Humboldt Hill, California",06 Feb 2017 12:46 pm
2.19,"56km N of Winnett, Montana",08 Feb 2017 11:51 pm
2.19,"9km E of Yountville, California",19 Feb 2017 01:33 am
2.19,"57km WSW of Guadalupe, California",23 Feb 2017 09:32 am
2.19,"1km E of Pacheco, California",24 Feb 2017 05:21 am
2.19,"2km SW of Aurora, Utah",26 Feb 2017 03:52 pm
2.18,"13km W of Kalaoa, Hawaii",02 Feb 2017 08:41 am
2.18,"8km NNW of Friday Harbor, Washington",12 Feb 2017 08:13 pm
2.18,"4km S of La Center, Kentucky",12 Feb 2017 10:17 pm
2.18,"1km NW of Greenbrier, Arkansas",19 Feb 2017 01:26 am
2.17,"13km SE of Challis, Idaho",01 Feb 2017 06:46 am
2.17,"19km SE of Anthony, Kansas",04 Feb 2017 07:41 pm
2.17,"19km SE of Anthony, Kansas",05 Feb 2017 12:45 am
2.17,"4km NNW of Delta, B.C., MX",09 Feb 2017 03:19 am
2.17,"91km SSE of Hawaiian Ocean View, Hawaii",10 Feb 2017 04:38 am
2.17,"7km SE of Harper, Kansas",23 Feb 2017 11:22 pm
2.17,"24km S of Pahala, Hawaii",25 Feb 2017 10:25 am
2.16,"45km SW of Ferndale, California",05 Feb 2017 11:48 am
2.16,"5km ESE of Rancho Cucamonga, CA",12 Feb 2017 08:17 am
2.16,"14km S of Princeton, Canada",20 Feb 2017 02:15 pm
2.16,"13km E of Kettleman City, California",21 Feb 2017 07:08 pm
2.16,"12km SSE of Pahala, Hawaii",25 Feb 2017 09:10 pm
2.16,"12km E of Porterville, CA",28 Feb 2017 03:12 pm
2.15,"23km ENE of Cave City, Arkansas",05 Feb 2017 06:52 am
2.15,"4km SSW of Princeton, Canada",08 Feb 2017 02:14 pm
2.15,"8km WSW of Volcano, Hawaii",09 Feb 2017 06:11 am
2.15,"10km NW of Truckee, California",18 Feb 2017 06:38 am
2.15,"18km E of Anthony, Kansas",23 Feb 2017 10:26 am
2.15,"36km NNE of McCloud, California",26 Feb 2017 07:57 pm
2.14,"15km E of Angwin, California",06 Feb 2017 06:33 am
2.13,"14km NNW of Searcy, Arkansas",01 Feb 2017 02:03 am
2.13,"10km NNW of Friday Harbor, Washington",12 Feb 2017 07:50 pm
2.13,"6km WNW of The Geysers, California",21 Feb 2017 03:39 am
2.12,"12km S of Princeton, Canada",13 Feb 2017 02:11 pm
2.12,"2km WSW of Princeton, Canada",24 Feb 2017 02:16 pm
2.12,"10km NE of San Simeon, California",27 Feb 2017 10:15 pm
2.11,"9km SSW of Anthony, Kansas",01 Feb 2017 12:27 am
2.11,"3km NW of Redwood Valley, California",02 Feb 2017 08:17 am
2.11,"10km ENE of Washington, Utah",13 Feb 2017 09:49 am
2.11,"11km WNW of Bryson City, North Carolina",14 Feb 2017 06:10 pm
2.11,"5km E of Pahala, Hawaii",16 Feb 2017 01:29 pm
2.11,"15km NE of Hardy, Arkansas",17 Feb 2017 10:25 am
2.11,"19km SE of Bayside, California",17 Feb 2017 11:25 am
2.11,"23km NE of Soledad, California",17 Feb 2017 04:57 pm
2.11,"45km ENE of Burney, California",18 Feb 2017 02:15 pm
2.1,"69km SSE of Akutan, Alaska",31 Jan 2017 07:53 am
2.1,"52km NNW of Talkeetna, Alaska",31 Jan 2017 10:59 am
2.1,"91km SE of Akutan, Alaska",31 Jan 2017 07:48 pm
2.1,"97km NNW of Nikiski, Alaska",01 Feb 2017 01:47 am
2.1,"72km WSW of Sand Point, Alaska",01 Feb 2017 04:06 am
2.1,"1km NNW of Pole Ojea, Puerto Rico",01 Feb 2017 09:59 pm
2.1,"66km S of Adak, Alaska",01 Feb 2017 10:15 pm
2.1,"41km N of Chernabura Island, Alaska",02 Feb 2017 04:33 am
2.1,"59km NNE of Sutton-Alpine, Alaska",02 Feb 2017 03:42 pm
2.1,"11km S of Emajagua, Puerto Rico",02 Feb 2017 09:28 pm
2.1,"110km NNW of Nikiski, Alaska",03 Feb 2017 06:11 pm
2.1,"35km NW of Christiansted, U.S. Virgin Islands",03 Feb 2017 07:11 pm
2.1,"93km N of Redoubt Volcano, Alaska",04 Feb 2017 05:13 am
2.1,"94km NNW of Kodiak Station, Alaska",04 Feb 2017 08:53 am
2.1,"93km E of King Salmon, Alaska",04 Feb 2017 04:07 pm
2.1,"53km ENE of Sand Point, Alaska",05 Feb 2017 01:59 am
2.1,"138km SE of Fritz Creek, Alaska",05 Feb 2017 08:53 am
2.1,"36km ESE of Sutton-Alpine, Alaska",05 Feb 2017 07:06 pm
2.1,"31km ENE of Akutan, Alaska",06 Feb 2017 12:39 am
2.1,"47km NE of Nikolski, Alaska",06 Feb 2017 03:31 am
2.1,"34km ESE of Sutton-Alpine, Alaska",06 Feb 2017 07:37 am
2.1,"102km ESE of Akutan, Alaska",06 Feb 2017 11:44 am
2.1,"139km SE of Akutan, Alaska",06 Feb 2017 01:29 pm
2.1,"27km SSW of Esperanza, Puerto Rico",07 Feb 2017 06:21 am
2.1,"55km E of Sutton-Alpine, Alaska",07 Feb 2017 02:33 pm
2.1,"72km W of Anchor Point, Alaska",09 Feb 2017 11:04 am
2.1,"127km SW of Homer, Alaska",09 Feb 2017 01:33 pm
2.1,"13km SSE of Pole Ojea, Puerto Rico",09 Feb 2017 04:29 pm
2.1,"126km S of Unalaska, Alaska",09 Feb 2017 05:18 pm
2.1,"83km E of Old Iliamna, Alaska",09 Feb 2017 09:50 pm
2.1,"90km WSW of Cantwell, Alaska",10 Feb 2017 05:35 am
2.1,"108km W of Cantwell, Alaska",10 Feb 2017 01:03 pm
2.1,"39km E of Sterling, Alaska",10 Feb 2017 07:17 pm
2.1,"46km ESE of Seward, Alaska",11 Feb 2017 04:07 am
2.1,"12km SSE of Princeton, Canada",11 Feb 2017 10:13 am
2.1,"46km WSW of Redoubt Volcano, Alaska",11 Feb 2017 10:54 am
2.1,"19km SSW of Adak, Alaska",11 Feb 2017 05:59 pm
2.1,"St. Lawrence Valley region, Quebec, Canada",11 Feb 2017 09:56 pm
2.1,"28km WSW of Hawthorne, Nevada",12 Feb 2017 09:31 am
2.1,"23km ESE of Adak, Alaska",12 Feb 2017 07:47 pm
2.1,"12km N of Saint John, Canada",13 Feb 2017 03:29 am
2.1,"40km WSW of Tanaga Volcano, Alaska",13 Feb 2017 04:48 pm
2.1,"40km SE of Whittier, Alaska",13 Feb 2017 06:18 pm
2.1,"19km ESE of Anchorage, Alaska",13 Feb 2017 11:53 pm
2.1,"52km S of Owyhee, Nevada",14 Feb 2017 01:01 am
2.1,"71km NE of Kobuk, Alaska",14 Feb 2017 06:20 am
2.1,"76km WSW of Anchor Point, Alaska",14 Feb 2017 08:29 am
2.1,"70km SW of Redoubt Volcano, Alaska",14 Feb 2017 05:07 pm
2.1,"75km ESE of Sutton-Alpine, Alaska",14 Feb 2017 09:03 pm
2.1,"106km SW of Gustavus, Alaska",15 Feb 2017 01:01 am
2.1,"81km SW of Atka, Alaska",15 Feb 2017 01:51 am
2.1,"126km NNW of Talkeetna, Alaska",15 Feb 2017 05:33 am
2.1,"32km E of Cantwell, Alaska",15 Feb 2017 08:01 am
2.1,"59km N of Amatignak Island, Alaska",15 Feb 2017 08:53 am
2.1,"132km SSE of Unalaska, Alaska",16 Feb 2017 05:37 am
2.1,"88km SW of Delta Junction, Alaska",16 Feb 2017 02:48 pm
2.1,"18km E of Anthony, Kansas",16 Feb 2017 07:49 pm
2.1,"70km SE of Unalaska, Alaska",17 Feb 2017 06:09 am
2.1,"75km W of Gustavus, Alaska",17 Feb 2017 10:29 am
2.1,"87km S of False Pass, Alaska",17 Feb 2017 04:33 pm
2.1,"102km S of False Pass, Alaska",17 Feb 2017 09:05 pm
2.1,"20km S of Adak, Alaska",17 Feb 2017 10:46 pm
2.1,"6km ESE of Mammoth Lakes, California",18 Feb 2017 02:43 am
2.1,"72km WSW of Dutch Harbor, Alaska",18 Feb 2017 02:13 pm
2.1,"167km S of Adak, Alaska",18 Feb 2017 08:54 pm
2.1,"84km NW of Yakutat, Alaska",20 Feb 2017 04:29 pm
2.1,"28km SSW of Cohoe, Alaska",20 Feb 2017 08:43 pm
2.1,"50km S of Tanaga Volcano, Alaska",21 Feb 2017 12:40 am
2.1,"143km S of King Salmon, Alaska",22 Feb 2017 01:43 am
2.1,"71km E of Cantwell, Alaska",22 Feb 2017 03:33 pm
2.1,"9km WNW of Rincon, Puerto Rico",22 Feb 2017 03:53 pm
2.1,"23km SSE of Sand Point, Alaska",22 Feb 2017 05:32 pm
2.1,"16km ENE of Coachella, CA",23 Feb 2017 03:17 am
2.1,"90km NW of Talkeetna, Alaska",23 Feb 2017 05:55 am
2.1,"85km NNE of Sutton-Alpine, Alaska",23 Feb 2017 07:21 pm
2.1,"92km SSE of King Salmon, Alaska",24 Feb 2017 04:21 am
2.1,"103km ESE of McGrath, Alaska",25 Feb 2017 04:17 am
2.1,"119km NNW of Kodiak Station, Alaska",25 Feb 2017 05:44 am
2.1,"114km W of Haines Junction, Canada",25 Feb 2017 12:37 pm
2.1,"68km SSW of Redoubt Volcano, Alaska",25 Feb 2017 01:11 pm
2.1,"64km NNW of College, Alaska",25 Feb 2017 08:06 pm
2.1,"53km S of Redoubt Volcano, Alaska",25 Feb 2017 10:21 pm
2.1,"15km NNE of Cantwell, Alaska",26 Feb 2017 06:24 am
2.1,"23km SE of Redoubt Volcano, Alaska",27 Feb 2017 02:02 am
2.1,"16km S of Carlin, Nevada",27 Feb 2017 04:43 pm
2.1,"38km WSW of Healy, Alaska",01 Mar 2017 01:00 am
2.1,"60km SW of Tok, Alaska",01 Mar 2017 02:43 am
2.09,"19km ENE of Lone Pine, CA",31 Jan 2017 11:10 pm
2.09,"5km WNW of Cobb, California",19 Feb 2017 05:38 am
2.09,"41km ESE of Bridgeport, California",23 Feb 2017 09:03 pm
2.09,"41km SW of Ferndale, California",27 Feb 2017 12:31 am
2.09,"4km SSW of Redwood Valley, California",27 Feb 2017 01:14 pm
2.08,"55km WSW of Kahaluu-Keauhou, Hawaii",04 Feb 2017 05:19 pm
2.08,"19km WNW of Caldwell, Kansas",07 Feb 2017 01:28 pm
2.08,"7km N of Oroville, California",08 Feb 2017 11:56 am
2.08,"8km ENE of Hildale, Utah",10 Feb 2017 04:21 pm
2.08,"9km S of Princeton, Canada",23 Feb 2017 10:17 am
2.08,"4km SW of Palomar Observatory, CA",24 Feb 2017 11:25 am
2.08,"34km SSW of Dubois, Wyoming",25 Feb 2017 09:05 pm
2.07,"24km WNW of Volcano, Hawaii",31 Jan 2017 04:26 am
2.07,"8km ESE of Mammoth Lakes, California",12 Feb 2017 07:17 pm
2.07,"10km NNW of Friday Harbor, Washington",12 Feb 2017 07:50 pm
2.07,"6km W of Alberto Oviedo Mota, B.C., MX",16 Feb 2017 04:30 am
2.07,"6km NNE of Puebla, B.C., MX",18 Feb 2017 08:49 am
2.07,"17km NNW of Hayfork, California",18 Feb 2017 06:05 pm
2.07,"6km W of Cobb, California",24 Feb 2017 07:44 am
2.06,"11km N of Cayucos, California",02 Feb 2017 09:21 pm
2.06,"13km SSE of Princeton, Canada",03 Feb 2017 02:14 pm
2.06,"6km S of Princeton, Canada",04 Feb 2017 02:14 pm
2.06,"9km WNW of Lemoore Station, California",04 Feb 2017 11:36 pm
2.06,"2km WNW of Princeton, Canada",05 Feb 2017 02:19 pm
2.06,"30km SE of Hawaiian Ocean View, Hawaii",05 Feb 2017 08:50 pm
2.06,"24km ENE of King City, California",08 Feb 2017 01:18 am
2.06,"24km NNE of Beaver, Utah",11 Feb 2017 03:56 am
2.06,"10km E of Waimea, Hawaii",20 Feb 2017 01:16 am
2.06,"8km NNE of Cabazon, CA",24 Feb 2017 12:07 pm
2.06,"6km E of East Foothills, California",25 Feb 2017 09:17 am
2.06,"4km WNW of The Geysers, California",27 Feb 2017 12:37 pm
2.06,"8km ENE of Coso Junction, CA",28 Feb 2017 11:08 am
2.05,"15km E of Angwin, California",17 Feb 2017 03:39 pm
2.05,"21km NE of Old Faithful Geyser, Wyoming",24 Feb 2017 01:33 pm
2.05,"51km NE of Burney, California",25 Feb 2017 08:39 pm
2.05,"5km WSW of Volcano, Hawaii",26 Feb 2017 02:18 pm
2.04,"6km NW of The Geysers, California",31 Jan 2017 06:32 pm
2.04,"13km SSE of Princeton, Canada",01 Feb 2017 02:15 pm
2.04,"32km WSW of Orland, California",02 Feb 2017 02:13 am
2.04,"12km E of Helper, Utah",02 Feb 2017 02:18 pm
2.04,"5km SW of Volcano, Hawaii",05 Feb 2017 07:23 am
2.04,"26km ENE of Pine Valley, CA",06 Feb 2017 11:04 am
2.04,"8km SSW of Honoka'a, Hawaii",22 Feb 2017 06:55 pm
2.04,"18km NE of Upper Lake, California",01 Mar 2017 12:09 pm
2.03,"24km ENE of Cave City, Arkansas",05 Feb 2017 05:32 am
2.03,"17km ESE of Mammoth Lakes, California",05 Feb 2017 07:03 am
2.03,"17km SW of Carpinteria, CA",10 Feb 2017 02:45 pm
2.03,"21km NE of Soledad, California",23 Feb 2017 12:00 pm
2.03,"16km SE of Volcano, Hawaii",27 Feb 2017 05:41 pm
2.02,"6km NW of The Geysers, California",09 Feb 2017 07:39 pm
2.02,"6km WNW of Tumwater, Washington",10 Feb 2017 01:10 pm
2.02,"14km E of Angwin, California",10 Feb 2017 11:31 pm
2.02,"6km ESE of Anthony, Kansas",13 Feb 2017 10:38 pm
2.02,"8km SSE of San Juan Bautista, California",18 Feb 2017 03:46 pm
2.02,"7km SE of Harper, Kansas",24 Feb 2017 02:06 am
2.02,"39km NNW of Chilliwack, Canada",25 Feb 2017 12:32 pm
2.02,"23km SE of Waimea, Hawaii",27 Feb 2017 06:34 pm
2.01,"11km WSW of Morongo Valley, CA",31 Jan 2017 03:49 pm
2.01,"17km SE of Julian, CA",03 Feb 2017 01:24 pm
2.01,"39km W of Page, Arizona",03 Feb 2017 02:01 pm
2.01,"4km SSE of San Juan Bautista, California",08 Feb 2017 08:43 am
2.01,"6km W of Cobb, California",09 Feb 2017 11:11 pm
2.01,"8km W of Templeton, California",11 Feb 2017 01:49 pm
2.01,"13km SE of Mammoth Lakes, California",12 Feb 2017 08:09 pm
2,"71km SE of Nikolski, Alaska",31 Jan 2017 02:52 pm
2,"16km NNE of Charlotte Amalie, U.S. Virgin Islands",31 Jan 2017 07:28 pm
2,"39km E of Akutan, Alaska",01 Feb 2017 08:48 am
2,"56km E of Whittier, Alaska",01 Feb 2017 08:54 am
2,"101km NW of Chirikof Island, Alaska",01 Feb 2017 11:04 am
2,"123km NNW of Kodiak Station, Alaska",01 Feb 2017 05:37 pm
2,"75km W of Anchor Point, Alaska",02 Feb 2017 09:18 am
2,"3km NNW of The Geysers, California",02 Feb 2017 03:09 pm
2,"101km NNW of Larsen Bay, Alaska",03 Feb 2017 05:43 am
2,"72km SSE of Unalaska, Alaska",03 Feb 2017 06:31 pm
2,"63km SW of Cantwell, Alaska",03 Feb 2017 08:55 pm
2,"39km SSW of Adak, Alaska",04 Feb 2017 04:28 am
2,"96km NNW of Talkeetna, Alaska",05 Feb 2017 04:18 pm
2,"14km E of Angwin, California",06 Feb 2017 08:58 am
2,"45km S of Cantwell, Alaska",06 Feb 2017 03:06 pm
2,"119km SE of Cold Bay, Alaska",06 Feb 2017 03:07 pm
2,"90km SE of Larsen Bay, Alaska",07 Feb 2017 03:51 am
2,"109km NE of Chignik Lake, Alaska",07 Feb 2017 04:14 am
2,"14km ENE of Chernabura Island, Alaska",07 Feb 2017 11:20 am
2,"88km NE of Sutton-Alpine, Alaska",07 Feb 2017 01:44 pm
2,"32km NE of Fritz Creek, Alaska",08 Feb 2017 06:30 am
2,"32km NE of Fritz Creek, Alaska",08 Feb 2017 06:37 am
2,"8km ENE of Sand Point, Alaska",08 Feb 2017 06:40 am
2,"29km E of Fritz Creek, Alaska",08 Feb 2017 12:19 pm
2,"161km NE of Chignik Lake, Alaska",09 Feb 2017 03:35 am
2,"108km W of Larsen Bay, Alaska",09 Feb 2017 06:20 am
2,"79km SSW of Redoubt Volcano, Alaska",09 Feb 2017 06:43 am
2,"11km S of Pole Ojea, Puerto Rico",09 Feb 2017 08:59 am
2,"74km SW of Redoubt Volcano, Alaska",09 Feb 2017 06:30 pm
2,"126km SW of Anchor Point, Alaska",10 Feb 2017 06:54 am
2,"56km SW of Homer, Alaska",10 Feb 2017 01:31 pm
2,"16km SSW of La Parguera, Puerto Rico",10 Feb 2017 04:43 pm
2,"153km S of King Salmon, Alaska",10 Feb 2017 10:49 pm
2,"39km S of Redoubt Volcano, Alaska",11 Feb 2017 09:30 am
2,"31km E of Redoubt Volcano, Alaska",11 Feb 2017 09:49 am
2,"77km ENE of Old Iliamna, Alaska",11 Feb 2017 02:42 pm
2,"41km NNE of Larsen Bay, Alaska",11 Feb 2017 02:47 pm
2,"54km WSW of Talkeetna, Alaska",11 Feb 2017 11:11 pm
2,"54km SW of Redoubt Volcano, Alaska",12 Feb 2017 03:47 am
2,"64km SE of Whittier, Alaska",12 Feb 2017 05:37 am
2,"54km S of Owyhee, Nevada",13 Feb 2017 08:25 pm
2,"37km SSW of Redoubt Volcano, Alaska",13 Feb 2017 11:00 pm
2,"57km S of Owyhee, Nevada",13 Feb 2017 11:31 pm
2,"64km N of Amatignak Island, Alaska",13 Feb 2017 11:50 pm
2,"33km S of Gabbs, Nevada",14 Feb 2017 01:41 am
2,"25km SSE of Little Sitkin Island, Alaska",14 Feb 2017 04:00 am
2,"9km WNW of Cobb, California",14 Feb 2017 01:49 pm
2,"66km W of Anchor Point, Alaska",14 Feb 2017 06:49 pm
2,"14km SSW of La Parguera, Puerto Rico",14 Feb 2017 09:14 pm
2,"69km W of Anchor Point, Alaska",15 Feb 2017 01:56 am
2,"58km SE of Adak, Alaska",15 Feb 2017 02:11 am
2,"19km SSE of Santa Rosa Is., CA",16 Feb 2017 01:44 am
2,"14km SSE of Redoubt Volcano, Alaska",16 Feb 2017 03:52 pm
2,"58km WNW of Talkeetna, Alaska",16 Feb 2017 05:12 pm
2,"6km SW of Homer, Alaska",17 Feb 2017 01:36 pm
2,"112km NW of Talkeetna, Alaska",17 Feb 2017 09:11 pm
2,"81km WSW of Cantwell, Alaska",18 Feb 2017 06:45 am
2,"45km SE of Tanaga Volcano, Alaska",18 Feb 2017 12:32 pm
2,"64km W of Amatignak Island, Alaska",18 Feb 2017 04:44 pm
2,"65km ESE of Akutan, Alaska",18 Feb 2017 08:47 pm
2,"8km W of Adjuntas, Puerto Rico",19 Feb 2017 12:37 am
2,"20km S of Charlotte Amalie, U.S. Virgin Islands",20 Feb 2017 01:46 am
2,"81km SSE of Haines Junction, Canada",20 Feb 2017 04:11 am
2,"58km N of Chernabura Island, Alaska",20 Feb 2017 05:52 pm
2,"180km E of Chitina, Alaska",20 Feb 2017 06:20 pm
2,"52km SE of Tanaga Volcano, Alaska",20 Feb 2017 11:31 pm
2,"61km SSW of Redoubt Volcano, Alaska",21 Feb 2017 10:32 am
2,"40km SE of Beatty, Nevada",21 Feb 2017 01:26 pm
2,"12km S of La Parguera, Puerto Rico",21 Feb 2017 09:46 pm
2,"85km WSW of Cantwell, Alaska",22 Feb 2017 01:42 am
